""	"Other_DHS_1_obs_exp"	"Other_DHS_2_obs_exp"	"Other_DHS_3_obs_exp"	"Other_DHS_4_obs_exp"	"Other_DHS_5_obs_exp"	"APOBEC_DHS_1_obs_exp"	"APOBEC_DHS_2_obs_exp"	"APOBEC_DHS_3_obs_exp"	"APOBEC_DHS_4_obs_exp"	"APOBEC_DHS_5_obs_exp"	"Other_Rep_1_obs_exp"	"Other_Rep_2_obs_exp"	"Other_Rep_3_obs_exp"	"Other_Rep_4_obs_exp"	"Other_Rep_5_obs_exp"	"APOBEC_Rep_1_obs_exp"	"APOBEC_Rep_2_obs_exp"	"APOBEC_Rep_3_obs_exp"	"APOBEC_Rep_4_obs_exp"	"APOBEC_Rep_5_obs_exp"	"Other_XPD_1_obs_exp"	"Other_XPD_2_obs_exp"	"Other_XPD_3_obs_exp"	"Other_XPD_4_obs_exp"	"Other_XPD_5_obs_exp"	"APOBEC_XPD_1_obs_exp"	"APOBEC_XPD_2_obs_exp"	"APOBEC_XPD_3_obs_exp"	"APOBEC_XPD_4_obs_exp"	"APOBEC_XPD_5_obs_exp"	"Other_XR_1_obs_exp"	"Other_XR_2_obs_exp"	"Other_XR_3_obs_exp"	"Other_XR_4_obs_exp"	"Other_XR_5_obs_exp"	"APOBEC_XR_1_obs_exp"	"APOBEC_XR_2_obs_exp"	"APOBEC_XR_3_obs_exp"	"APOBEC_XR_4_obs_exp"	"APOBEC_XR_5_obs_exp"	"Other_CBS_log_obs_exp"	"Other_Flank_log_obs_exp"	"APOBEC_CBS_log_obs_exp"	"APOBEC_log_Flank_obs_exp"	"Other_Coding_exon_obs_exp"	"Other_Intron_obs_exp"	"Other_3_UTR_obs_exp"	"Other_5_UTR_obs_exp"	"Other_Intergenic_obs_exp"	"APOBEC_Coding_exon_obs_exp"	"APOBEC_Intron_obs_exp"	"APOBEC_3_UTR_obs_exp"	"APOBEC_5_UTR_obs_exp"	"APOBEC_Intergenic_obs_exp"	"Other_Open_obs_exp"	"Other_Close_obs_exp"	"APOBEC_Open_obs_exp"	"APOBEC_Close_obs_exp"	"Genotype"
"30"	0.194491	-0.0380611	-0.190227	-0.277431	-0.474947	0.0666885	0.0443941	0.0507594	-0.106973	-0.169057	0.470209	0.164271	-0.192673	-0.431995	-0.767118	0.329457	0.126114	-0.101392	-0.105062	-0.30466	0.0152406	-0.0567523	-0.09413	-0.295672	-0.26565	0.210015	-0.0230294	-0.0358114	-0.154737	-0.111857	0.192358	0.0077122	-0.143446	-0.298774	-0.530718	-0.124634	0.0395876	-0.00911047	0.0115529	-0.0234795	-0.451542	-0.583588	-0.042644	0.267524	-0.349039	-0.406034	-0.453218	-0.575882	0.297274	0.229022	-0.097346	0.111085	1.12315	0.0623566	-0.71925	0.137071	-0.210915	0.125955	"WT"
"31"	0.248316	-0.0183183	-0.0776895	-0.237216	-0.236116	0.0537786	0.123785	0.0879244	0.0256242	0.0537647	0.330822	0.16678	-0.193956	-0.39813	-0.599753	0.16606	0.114234	0.0126545	-0.0759868	-0.119199	0.127514	-0.0148464	0.0593968	-0.285558	-0.15533	0.17608	0.114927	-0.0100167	0.0481804	0.0122254	0.254159	0.117762	-0.0477112	-0.282242	-0.370545	-0.0202336	0.130641	0.204341	0.0271965	-0.0101896	0.669444	-0.350497	1.09954	0.0962079	-0.120597	-0.320951	-0.227959	-0.0399732	0.244327	0.38993	0.0118391	0.0408363	1.08467	-0.0217311	-0.59885	0.214771	-0.0613679	0.159242	"WT"
"32"	0.372796	-0.232874	-0.254233	-0.45256	-0.33757	0.297227	0.0920044	-0.285606	-0.245641	-0.173767	-0.0276764	0.0901895	-0.179582	-0.291832	-0.235314	0.0762854	0.0204986	-0.0170404	-0.302208	-0.273507	-0.341464	-0.32313	0.00841518	-0.109894	-0.0473131	-0.191788	-0.0840646	0.144999	-0.121297	-0.0149004	0.4673	-0.389873	-0.303955	-0.336482	-0.374006	0.402962	-0.114366	-0.1585	-0.0391384	-0.412754	-2.35896	-0.66583	0.200919	-0.651786	-0.346294	-0.322599	-0.412781	-0.780609	0.252331	-0.813388	-0.225452	-0.72802	-0.169925	0.211423	-0.365868	0.0207404	-0.353721	0.045401	"WT"
"33"	0.0812714	-0.114546	-0.29218	-0.341241	-0.441527	0.0175656	-0.00642852	-0.0533814	-0.0622398	-0.132374	0.742532	0.180988	-0.336191	-0.589496	-0.886526	0.457972	0.0950332	-0.146097	-0.184244	-0.312722	0.0745739	-0.0696336	-0.316595	-0.321649	-0.442979	0.0711586	-0.0164522	0.0288237	-0.11093	-0.217293	0.0606562	-0.0129178	-0.18061	-0.342431	-0.656028	-0.262363	0.152469	0.057277	-0.0855135	-0.133685	-0.146841	-0.496629	-0.032101	-0.025738	-0.346936	-0.436246	-0.576082	-0.573111	0.30709	-0.0255456	-0.139353	0.129547	0.423718	0.0983657	-0.838182	0.127462	-0.242545	0.124156	"WT"
"34"	0.19779	-0.0570464	-0.131604	-0.175454	-0.367505	0.128782	-0.0737925	-0.111407	-0.086002	-0.126234	0.875002	0.139666	-0.512174	-0.862116	-1.21092	0.604432	0.106308	-0.172783	-0.552307	-0.511691	0.326756	0.0687258	-0.162669	-0.309091	-0.517364	0.455239	-0.0663065	-0.23493	-0.103415	-0.431748	0.247441	0.195914	0.0131835	-0.297321	-0.871976	-0.0330085	0.137241	0.160662	-0.13233	-0.467308	-0.483708	-0.869417	-0.0238461	-0.112629	-0.825156	-0.463006	-1.0452	-0.657848	0.324304	-0.0495331	-0.199563	-0.176878	0.400319	0.157341	-0.903463	0.234415	-0.377386	0.129784	"WT"
"35"	0.134037	0.00131226	-0.0807118	-0.205515	-0.395853	0.0924781	0.152054	0.0681205	-0.054662	-0.372104	0.978986	0.244095	-0.402636	-0.780195	-1.14402	1.03101	0.306309	-0.36383	-0.941684	-1.35356	0.3745	0.0712272	-0.120401	-0.381656	-0.524658	0.475085	0.22231	0.0361587	-0.285428	-0.685058	0.273003	0.184001	-0.118791	-0.202823	-0.800443	0.263431	0.29537	0.227482	-0.269166	-0.857134	-0.553009	-0.83403	-1.42223	-0.695358	-0.841262	-0.40792	-0.828547	-1.09621	0.301588	-0.470667	-0.415361	-1.29499	-0.31366	0.284715	-0.793979	0.252513	-0.83246	0.301997	"WT"
"36"	0.101126	-0.102371	-0.163677	-0.165836	-0.385582	0.0294882	0.0627158	0.100991	-0.0341603	-0.153116	0.821661	0.185651	-0.285006	-0.572668	-0.902147	0.483199	0.234587	-0.0893932	-0.238419	-0.464208	0.286952	-0.0702953	-0.107587	-0.390487	-0.446018	0.31091	0.142217	-0.134032	-0.128729	-0.236803	0.127739	0.0343989	-0.110565	-0.238565	-0.546233	-0.0587735	0.187096	0.0283145	0.0290782	-0.196694	-0.499102	-0.672179	0.452058	-0.0751324	-0.175952	-0.324538	-0.284274	-0.713696	0.239801	0.0812987	-0.0983743	0.0896337	0.62528	0.0643862	-0.76467	0.151625	-0.320173	0.15017	"WT"
"37"	0.24535	-0.0534668	-0.254317	-0.182162	-0.410808	0.147346	0.117376	0.132458	-0.0519868	-0.322231	0.616188	0.1129	-0.329241	-0.549667	-0.678264	0.726055	0.21728	-0.248103	-0.571137	-0.975663	0.119383	-0.0413711	-0.0879879	-0.291836	-0.271404	0.356673	0.318947	0.044548	-0.21856	-0.534999	0.143498	-0.0585751	-0.115959	-0.166179	-0.400469	0.151482	0.215939	0.0380006	0.00142756	-0.391747	-0.739849	-0.40345	0.176246	-0.188733	-0.058138	-0.360188	-0.4618	-0.771744	0.26289	0.0125544	-0.298032	-0.568379	0.231641	0.223769	-0.679303	0.204053	-0.652963	0.325386	"WT"
"38"	0.158944	0.0433865	-0.0747221	-0.0243669	-0.175646	0.0925593	0.0180074	-0.00341457	0.0481106	0.0405839	0.521754	0.306741	-0.112256	-0.442156	-0.853022	0.378767	0.171642	-0.0995996	-0.242963	-0.312731	0.209054	0.0570135	-0.0135963	-0.122576	-0.187122	0.214336	0.140006	0.0231986	-0.111577	-0.0859101	0.181103	0.199826	0.0962214	-0.0381574	-0.591982	-0.0754379	0.198456	0.0740395	0.0216787	-0.0382537	0.241633	-0.375543	0.506866	0.157497	-0.356655	-0.338229	-0.750244	-0.294677	0.249348	-0.0603867	-0.131013	0.129191	0.657585	0.0864441	-0.697811	0.367751	-0.307314	0.237405	"WT"
"39"	0.154441	0.0254257	-0.161734	-0.20431	-0.185354	0.0565835	-0.0639128	0.100964	0.0615274	0.143955	0.112527	0.0947766	-0.0579502	-0.168053	-0.339064	-0.0246105	0.0438204	0.0237947	-0.0200127	0.0171808	-0.0610112	-0.0562182	-0.0359755	0.0130692	-0.201984	0.0069658	0.128452	0.0473429	-0.0336242	0.149389	0.184674	-0.0576619	-0.0570194	-0.179851	-0.268999	-0.208733	0.0580116	-0.0100893	0.140595	0.283957	-0.439357	-0.197395	0.610435	0.287626	-1.02304	-0.154798	-0.18543	-0.912779	0.14573	-0.00190128	-0.0048643	-0.00678506	0.534171	0.00558683	-0.257485	0.123044	0.0145981	0.0919503	"WT"
"40"	0.218632	-0.133119	-0.0719671	-0.269269	-0.532602	0.0216076	0.115499	0.126206	0.0907857	-0.0271897	0.556523	0.220045	-0.36406	-0.581754	-0.903849	0.361342	0.0435825	-0.137403	-0.243689	-0.199274	0.202274	-0.0947739	-0.0814672	-0.279441	-0.481233	0.371905	0.0457086	-0.0303319	0.00209039	-0.0915252	0.213876	-0.030214	-0.0965344	-0.304206	-0.55259	-0.00968551	0.0580116	0.162107	0.183772	-0.0814046	-0.404903	-0.754507	-0.757023	-0.0395906	-0.269333	-0.460797	-0.770912	-0.946605	0.319352	-0.0783321	-0.117895	-0.153209	1.25981	0.0922886	-0.796892	0.166947	-0.189843	0.16809	"WT"
"41"	0.422168	-0.269044	-0.278291	-0.38327	-0.437121	0.0534172	0.0621355	0.0369745	0.11302	0.100628	-0.050483	-0.0494644	0.0680241	-0.361051	-0.505883	0.11286	0.0157545	-0.0390658	-0.0615064	0.00426407	-0.146635	-0.396588	0.203853	-0.367823	-0.133904	0.154155	0.0528471	0.0899049	-0.00719532	0.0751492	0.218546	-0.205552	-0.211114	-0.268162	-0.34298	-0.180409	0.060753	0.112233	0.156824	0.189477	-0.555816	-0.356484	0.473932	0.104498	-0.0461418	-0.372242	-0.311773	0.065848	0.27484	0.553705	-0.0217546	0.343715	0.951767	-0.00825995	-0.571504	0.116059	-0.0197626	0.111806	"WT"
