	A.C.A.A	A.C.A.C	A.C.A.G	A.C.A.T	C.C.A.A	C.C.A.C	C.C.A.G	C.C.A.T	G.C.A.A	G.C.A.C	G.C.A.G	G.C.A.T	T.C.A.A	T.C.A.C	T.C.A.G	T.C.A.T	A.C.G.A	A.C.G.C	A.C.G.G	A.C.G.T	C.C.G.A	C.C.G.C	C.C.G.G	C.C.G.T	G.C.G.A	G.C.G.C	G.C.G.G	G.C.G.T	T.C.G.A	T.C.G.C	T.C.G.G	T.C.G.T	A.C.T.A	A.C.T.C	A.C.T.G	A.C.T.T	C.C.T.A	C.C.T.C	C.C.T.G	C.C.T.T	G.C.T.A	G.C.T.C	G.C.T.G	G.C.T.T	T.C.T.A	T.C.T.C	T.C.T.G	T.C.T.T	A.T.A.A	A.T.A.C	A.T.A.G	A.T.A.T	C.T.A.A	C.T.A.C	C.T.A.G	C.T.A.T	G.T.A.A	G.T.A.C	G.T.A.G	G.T.A.T	T.T.A.A	T.T.A.C	T.T.A.G	T.T.A.T	A.T.C.A	A.T.C.C	A.T.C.G	A.T.C.T	C.T.C.A	C.T.C.C	C.T.C.G	C.T.C.T	G.T.C.A	G.T.C.C	G.T.C.G	G.T.C.T	T.T.C.A	T.T.C.C	T.T.C.G	T.T.C.T	A.T.G.A	A.T.G.C	A.T.G.G	A.T.G.T	C.T.G.A	C.T.G.C	C.T.G.G	C.T.G.T	G.T.G.A	G.T.G.C	G.T.G.G	G.T.G.T	T.T.G.A	T.T.G.C	T.T.G.G	T.T.G.T	Genotype
11	0.006199089	0.006550553	0.011801397	0.004988503	0.00545448	0.005572956	0.010319647	0.003634645	0.005006974	0.004349693	0.008062173	0.004617065	0.009144397	0.006554864	0.013436974	0.008308535	0.004526777	0.003250274	0.010181598	0.003651006	0.002963706	0.003494155	0.009056017	0.004060325	0.002988033	0.001857172	0.009528023	0.002994853	0.01858569	0.008287759	0.013173504	0.023190279	0.010235706	0.008600726	0.119865172	0.008024984	0.009963096	0.009067112	0.088243512	0.009692388	0.008721826	0.009188116	0.090394063	0.008194251	0.035271246	0.018383756	0.094585758	0.021954516	0.00355411	0.00339743	0.003166475	0.003965772	0.00243526	0.002694411	0.002382109	0.003089357	0.001845479	0.002216236	0.00278565	0.003111499	0.003299258	0.002330062	0.001872535	0.00273891	0.009872527	0.008014451	0.00946776	0.007068405	0.006268539	0.006874202	0.010475538	0.007548524	0.007638231	0.008618695	0.012574114	0.007220272	0.004837048	0.005898891	0.007244563	0.003722496	0.002679686	0.001742272	0.002913157	0.002122854	0.001848994	0.002279886	0.002209908	0.004371732	0.003024534	0.002831857	0.006229023	0.003271063	0.002152906	0.001504217	0.002916244	0.003495515	WT
12	0.00344829	0.004385534	0.008404806	0.002625945	0.003519317	0.004192562	0.007649503	0.002842796	0.002790158	0.002208103	0.007358642	0.001400255	0.014360766	0.008743722	0.011670297	0.007267292	0.003243947	0.001771933	0.006149858	0.003234396	0.002457936	0.002311786	0.003731465	0.003103869	0.001538164	0.001472069	0.004112183	0.001916139	0.068568712	0.018288395	0.029175742	0.077843874	0.008965555	0.006246063	0.066008479	0.005123795	0.009915536	0.00999162	0.054292814	0.01067499	0.007190024	0.008053083	0.050644774	0.006964428	0.09605406	0.029401598	0.12300493	0.042998142	0.00274874	0.00192933	0.002300226	0.002417939	0.002277231	0.001407692	0.001678062	0.001936441	0.001362412	0.002181494	0.001748014	0.00159026	0.002080627	0.001123542	0.001196557	0.001487999	0.011669649	0.00443746	0.009453368	0.004939208	0.006831692	0.00382525	0.005186737	0.004053616	0.007765747	0.005181049	0.006477933	0.004558745	0.0042851	0.002639018	0.004459895	0.00235935	0.001399358	0.000926079	0.002047762	0.001405298	0.000759077	0.000856856	0.001550936	0.000722938	0.001544067	0.001745195	0.005758163	0.001448904	0.000866928	0.000992898	0.001686058	0.001380756	WT
13	0.004909026	0.004997855	0.005901656	0.002915318	0.004455229	0.003414618	0.006677833	0.00315992	0.003646145	0.003503571	0.009093706	0.002924504	0.012565555	0.008179635	0.014528816	0.009895528	0.00371655	0.003067649	0.007975211	0.002840567	0.002064618	0.002408525	0.008129536	0.003227632	0.002031821	0.001179086	0.00606247	0.002723802	0.058591505	0.016618941	0.039591025	0.067492577	0.008247959	0.00592849	0.078157072	0.005431961	0.00799768	0.006829235	0.063294242	0.006929252	0.007347956	0.006771324	0.074265262	0.006193066	0.076928211	0.022591373	0.120589176	0.035739893	0.003713664	0.002101662	0.001898909	0.002926572	0.001212342	0.001738205	0.001167198	0.001687526	0.00144877	0.001909567	0.002186839	0.001567324	0.003488364	0.001179173	0.001079144	0.002930991	0.007446771	0.004983942	0.006722576	0.003891376	0.004165482	0.004071686	0.004886404	0.00447998	0.005547727	0.004964874	0.00714723	0.004564488	0.002910182	0.003822145	0.004295415	0.003014435	0.002352635	0.001020807	0.00176795	0.001254245	0.001461027	0.001476284	0.001345245	0.001607168	0.0018728	0.001570088	0.003653622	0.002447225	0.001117818	0.0014638	0.002327565	0.00237817	WT
14	0.006821461	0.006059406	0.009613906	0.004213536	0.006112947	0.006788923	0.008993	0.004308023	0.006710429	0.004343036	0.003665352	0.003840318	0.01062185	0.007173523	0.012162571	0.010347272	0.004592008	0.002770014	0.006943377	0.003712918	0.00342034	0.002399093	0.005590243	0.003401071	0.002097009	0.001861301	0.004229252	0.002832234	0.051327521	0.017172979	0.027365786	0.052585992	0.010215554	0.007848374	0.077712406	0.007342399	0.007568411	0.01036204	0.059062136	0.009787526	0.008481236	0.009532118	0.06597633	0.008448699	0.072982389	0.023737839	0.117976943	0.041965624	0.004459796	0.003016069	0.00292348	0.002934536	0.002394107	0.002192633	0.001854836	0.002825372	0.001005749	0.002202466	0.002098582	0.002532047	0.004743356	0.002212523	0.001239945	0.002741782	0.010221722	0.005278122	0.007235614	0.005007557	0.00458003	0.004744061	0.004968312	0.005213485	0.00662611	0.006394257	0.004688322	0.005110132	0.003226773	0.004697357	0.003507272	0.002881491	0.002767027	0.001357231	0.001607914	0.001642263	0.001509328	0.001435178	0.00158986	0.001849946	0.001419881	0.001207804	0.004911576	0.002439973	0.001452048	0.001633863	0.001983912	0.002357583	WT
15	0.00158232	0.001502762	0.003416625	0.001147765	0.002092795	0.002045851	0.003604921	0.001642956	0.001566988	0.001289958	0.00252186	0.001043518	0.023035635	0.010573149	0.015250731	0.009389288	0.002689944	0.001698774	0.00241885	0.003547209	0.002929088	0.001462148	0.003467328	0.004098833	0.001614473	0.0012708	0.002043026	0.002282695	0.131060271	0.035229062	0.055425907	0.130900348	0.004355148	0.002084265	0.020953285	0.002276637	0.007378337	0.003357739	0.021381857	0.004406887	0.004690413	0.00277788	0.016344204	0.002978374	0.146670813	0.034283976	0.143797525	0.063309842	0.001389496	0.000853695	0.000806801	0.001002837	0.001078346	0.000672529	0.000723763	0.001119606	0.000917662	0.000522856	0.000702691	0.000615053	0.001490562	0.000612764	0.000633743	0.000786933	0.003737265	0.001388678	0.002300417	0.001786208	0.00217437	0.001002023	0.001177521	0.001568972	0.002625719	0.001777712	0.001693536	0.001751338	0.00210067	0.001221674	0.001504136	0.000972792	0.001367382	0.000506526	0.000471668	0.00057305	0.000636401	0.000415253	0.000408757	0.00161467	0.000582749	0.000514812	0.000722912	0.000792272	0.001300589	0.000597348	0.000697919	0.001192263	WT
16	0.016798676	0.007911882	0.009923175	0.004169415	0.004569016	0.00438207	0.007162852	0.003389429	0.005493269	0.00274626	0.009392926	0.002767865	0.003556139	0.004066555	0.005844023	0.009447851	0.014197866	0.002809827	0.007870104	0.003474513	0.001491924	0.003139393	0.003425712	0.002082078	0.002388378	0.00166221	0.010115459	0.001599211	0.00311711	0.002283956	0.005844023	0.014696657	0.040547057	0.006137255	0.157059901	0.006628301	0.005408223	0.007325251	0.070694235	0.009587241	0.005851526	0.007516079	0.123914373	0.006642876	0.005443966	0.010027122	0.061946647	0.014152337	0.012721828	0.003027215	0.003371304	0.005829817	0.002133983	0.01976831	0.00178247	0.002628945	0.002046726	0.001729643	0.013787974	0.002772441	0.012775625	0.001919033	0.001497971	0.008883396	0.0324928	0.005345932	0.00702355	0.005001914	0.004267965	0.00510809	0.004286415	0.008748784	0.005382131	0.00546203	0.016705761	0.004896012	0.00301819	0.006673001	0.003359087	0.011277662	0.006381769	0.000901723	0.001498357	0.001345342	0.000733557	0.001430265	0.001400512	0.003964966	0.001364484	0.00236688	0.008410092	0.005544881	0.002108598	0.001700961	0.003813018	0.010606372	WT
17	0.007643009	0.007887979	0.015428882	0.00399749	0.006306664	0.006977088	0.01164488	0.004686073	0.004924955	0.00460982	0.00874074	0.003788074	0.006856146	0.004349708	0.012425579	0.004233114	0.004407625	0.003171455	0.008278912	0.004115064	0.002768779	0.002589435	0.008562412	0.003035297	0.002298312	0.002145951	0.009535353	0.002638123	0.0039109	0.004349708	0.012425579	0.004788977	0.012753979	0.011791309	0.10687323	0.009817366	0.012869697	0.019348831	0.095899013	0.018158534	0.011819892	0.014226858	0.102505043	0.015828736	0.009656543	0.011823854	0.067269515	0.011074509	0.005321152	0.00382505	0.003398657	0.004135163	0.003520304	0.002808837	0.002567045	0.002986003	0.002250907	0.002803231	0.00295719	0.002011055	0.003182876	0.001630822	0.002296388	0.002805378	0.025229598	0.009633458	0.019362046	0.010432751	0.012687761	0.00741533	0.013488655	0.008294452	0.01333871	0.010111653	0.013968004	0.008044222	0.008775643	0.006139567	0.009984298	0.004798672	0.002477088	0.001983359	0.003295667	0.003034982	0.001833491	0.001910009	0.002800413	0.001943272	0.00216754	0.002603	0.009563679	0.002270546	0.00136409	0.001582857	0.002945368	0.002780769	WT
18	0.006606008	0.007280312	0.037346758	0.002855899	0.009287555	0.007038625	0.019491095	0.004434799	0.005058599	0.006233051	0.027573494	0.003239259	0.007003325	0.008418471	0.017544336	0.003917103	0.003156565	0.003160445	0.012013642	0.003263885	0.002348577	0.002495966	0.007130888	0.002513053	0.002597659	0.001820271	0.010477928	0.001690048	0.012532265	0.006122525	0.017841697	0.012908633	0.011812714	0.009989265	0.108383948	0.008812488	0.012063146	0.013827654	0.090562282	0.014302226	0.008522144	0.009487476	0.086856506	0.010187236	0.019468572	0.01050183	0.080287638	0.013531809	0.003852115	0.002507147	0.003073464	0.003238453	0.002952114	0.002105313	0.002202653	0.002664409	0.0019093	0.002084435	0.002401653	0.001530762	0.0031872	0.001331539	0.001420488	0.002698422	0.021648252	0.006685725	0.014330919	0.008056638	0.011401268	0.006666823	0.007547324	0.007335349	0.011918658	0.007990334	0.009824946	0.005987979	0.008299342	0.004161061	0.007067795	0.004235498	0.002515017	0.001425632	0.002430181	0.002527573	0.000967072	0.00171544	0.001554814	0.001809167	0.002082872	0.002153916	0.00489064	0.002566277	0.001609378	0.001065231	0.002251994	0.002117749	WT
19	0.00539896	0.004478083	0.009419462	0.003384401	0.00483423	0.004441078	0.00828721	0.002932409	0.005807659	0.003580997	0.012265394	0.003273502	0.009467031	0.007769617	0.012512409	0.006243341	0.003364569	0.002306891	0.007849552	0.003188204	0.002053478	0.002220539	0.007144147	0.002399244	0.001917623	0.002122072	0.008287428	0.002483346	0.04298435	0.013852409	0.01644488	0.044987728	0.009976339	0.008684768	0.124336897	0.007504542	0.008513378	0.009422287	0.066869212	0.010263432	0.006848655	0.007957771	0.078896316	0.007111401	0.058655308	0.021826489	0.118689136	0.030289121	0.003712561	0.003309677	0.002663847	0.001962511	0.002202904	0.00192174	0.001324049	0.001819122	0.00153028	0.002004778	0.00220488	0.00162382	0.002314226	0.001040532	0.001332882	0.001519401	0.013510661	0.005437326	0.01065539	0.007216976	0.005752028	0.004499684	0.004867826	0.00387552	0.007860072	0.005930802	0.005879679	0.006062261	0.004097318	0.003681882	0.00341551	0.00285401	0.002870537	0.001241129	0.001718611	0.001645977	0.000979069	0.000937434	0.001362991	0.001463206	0.001321605	0.001587116	0.004934731	0.002273348	0.000910515	0.001360695	0.001749408	0.00201218	WT
20	0.00543048	0.00741723	0.011516617	0.003668732	0.006615112	0.0079419	0.008015394	0.013804297	0.004807342	0.004483198	0.008582863	0.003166133	0.011299532	0.007720141	0.01362695	0.0081337	0.00382666	0.002586271	0.005193769	0.002927931	0.002553741	0.00258975	0.00493255	0.00341912	0.001694391	0.002575454	0.003576193	0.002597853	0.033435026	0.011580211	0.020568981	0.043516578	0.014603209	0.010881857	0.084455192	0.009806804	0.016060877	0.031508626	0.064123151	0.022080485	0.00772327	0.010111043	0.060080041	0.009295441	0.060698769	0.023380998	0.089217957	0.033304551	0.004899726	0.003017907	0.003429972	0.003801778	0.003080641	0.002460841	0.002576694	0.003498315	0.002201155	0.001682143	0.002680673	0.002141062	0.004583899	0.00189966	0.001737479	0.002096906	0.020617387	0.004123056	0.010846127	0.007558026	0.009858051	0.003606986	0.005181395	0.005233252	0.011205881	0.005166583	0.005172567	0.005411047	0.007585262	0.003741754	0.003744568	0.002598982	0.002229651	0.000850115	0.001390529	0.001570795	0.000836174	0.000910174	0.001260339	0.000995455	0.001100578	0.000600765	0.002756185	0.001362494	0.001145975	0.00094983	0.001707523	0.001757266	WT
